5359.97,27025.3,3
47332.8,30420,5
47135.8,61603.9,4
93087.3,92349.7,9
62226.8,36609.2,5
25787.3,60694.3,8
64723.4,26798.1,5
5860.6,35352.2,8
95454.1,22454.8,1
31021.2,29284.6,3
70136.6,73501.2,9
44431.8,91281.8,7
72524.7,88797.9,9
85209.7,77259.3,9
32093.1,13685.1,3
67329,70023.4,9
75294,81063.9,9
39952.7,37320.3,5
31579.3,43308.3,8
87188.8,191.448,1
55006.6,22369.2,0
57365.2,8622.06,0
8470.88,18998.7,3
98505.5,64582.9,2
43098.3,30156.7,5
58083.5,45319.8,5
46226.8,38483.1,5
24123.6,8445.12,3
68619,17725,1
42549.5,58724.8,4
14685.6,59736,8
36217.4,25560.2,0
54859.9,98906,7
76858.6,28525.6,1
50153.6,40607.1,5
52546.1,69154.9,4
78774.2,95578.3,9
29505.8,32425.5,3
2237.62,29966.2,3
94170.9,83340,9
11898.6,96464,6
88791.1,85809.4,9
92398.2,53398.8,2
97095.7,2619.7,1
56243,37309.5,5
56406.7,89836.5,7
44936.5,22745.2,0
35874,44573.2,5
45493.4,33783.3,5
46264.7,34652,5
30058.4,86123.5,6
84516.4,28401.9,1
89210.5,42366.1,2
34505.7,21439.4,0
71100.4,2914.48,1
60082.5,2797.93,0
29232.7,97300.3,6
59183.5,29301.4,5
28833.3,12539.4,3
33080.7,45032.4,8
71372,56664.9,2
4180.09,34599,8
5099.87,93876.2,6
42548.5,59882.4,4
73028.3,357.092,1
10561.7,53620.2,8
60119.3,72430.7,4
11475.3,35725.6,8
74678.1,23918.5,1
96747.5,97445.2,9
48550.6,13029,0
1858.41,11822.1,3
37642,33810.1,5
77280.4,56976.3,2
43879.4,14114.2,0
14487.9,76116.5,6
93877.2,25689,1
52864.6,81988.3,7
80690,64285.7,2
4292.93,15794.8,3
84046.8,81198,9
66660.1,57721.9,2
26675.2,66333.5,6
10743,95367.6,6
57393.8,7344.53,0
85981.6,56535.9,2
22559,4554.6,3
98455.7,49517.8,2
22402.7,57595.9,8
19320.1,26282.4,3
92487.1,30419.2,1
52850.1,29288.1,5
41688.4,59059.7,4
76196.1,807.203,1
21387.1,80311.3,6
26467,11240,3
33202.3,67989.9,4
65215.6,84904.9,7
94076.5,67302.3,9
86022.4,26268.7,1
44252.7,31789,5
76929.4,74805.5,9
40132.1,66647.8,4
1305.79,90657.7,6
42282.3,90629.2,7
4553.67,8355.45,3
49988.3,22210.9,0
73017.8,68288.8,9
63066.8,84099.3,7
84658,27073.6,1
22086.4,67747.3,6
10930.9,20224.6,3
88990.7,64239.1,2
19649.5,68471.7,6
18668.8,63775,8
21697.2,71364.5,6
98221.5,49150,2
66183.5,99931.5,7
40146.6,81140.3,7
10220.7,1173.65,3
96571,60767.2,2
36976.1,45659.1,5
10549.7,2844.93,3
75657.1,53587.6,2
89911.2,61163,2
46817.7,59639.3,4
64133.3,33747.1,5
63072.9,33933.3,5
90782.4,22266.3,1
24374.3,74014.2,6
77739.8,51477.8,2
68470.7,33517.7,5
23128.3,64243.4,8
52508.9,89177,7
48780.1,10888,0
79084.1,37022,2
25119.9,54026,8
10510.2,5305.74,3
61813.2,3845.45,0
60330.6,25911.9,5
96549.4,51497.6,2
77387.2,44028.3,2
94061.7,2059.05,1
90206.8,10087.6,1
2547.6,83707.9,6
51222,443.171,0
9817.22,13379,3
37955.2,92717.1,7
39443.5,63370.5,4
98568.3,31748,1
69240,87054.7,9
23089.7,10778.9,3
50852,94067.6,7
87021.2,21713.6,1
94506.5,40115,2
85506.2,10680.1,1
41256.8,54331.7,4
60016.6,89424.2,7
32068.9,13272.1,3
47273.4,9006.75,0
84340.3,52834.7,2
22897.7,13067.3,3
59108.2,75167.5,4
38706.7,78061.4,7
67428.7,4974.56,0
71965.4,57475.2,2
91828.6,9355.64,1
17516.9,66431.2,6
85335.1,20843.2,1
94837.3,88739.7,9
9887.18,94521.8,6
24136.5,62645.7,8
69500.2,33046.8,5
6195.48,67753.7,6
12186,3088.64,3
74701.4,11082.4,1
81116.7,98907.9,9
40368.3,64602.2,4
92994,91689.6,9
31285.1,2715.94,3
28774.7,18587.8,3
35584.9,28409.6,5
84304.6,52446.3,2
12939.4,38577,8
66594.8,88298.5,7
46118.6,91814.7,7
79632.6,7586.41,1
81285.7,9151.05,1
91521.6,71783.6,9
23299.1,16901.1,3
45963.9,64969,4
20358.6,95711.1,6
14887.3,86002,6
26150,4557.04,3
60386.3,43541.1,5
30445.9,32025.9,3
67863,47153.5,2
49620.4,5207.42,0
69960.6,51519.2,2
79548.8,54312.2,2
25880.7,12621,3
51187.9,95434.3,7
18183.6,59868.1,8
57623.2,27650.7,5
79779.2,69705.6,9
51097.8,62360.2,4
64679.5,95983.3,7
20269.3,54935.8,8
84299.3,11947.3,1
99016.8,75961.3,9
